起始时间,周期,网元名称,小区,QPSK调制方式的上行达到最大重传次数之后的仍然传输失败的TB数 (无),16QAM调制方式的上行达到最大重传次数之后的仍然传输失败的TB数 (无),64QAM调制方式的上行达到最大重传次数之后的仍然传输失败的TB数 (无),UL SCH传输信道上发送的采用QPSK的TB数 (无),UL SCH传输信道上发送的采用16QAM的TB数 (无),UL SCH传输信道上发送的采用64QAM的TB数 (无),QPSK调制方式的下行达到最大重传次数之后的仍然传输失败的TB数 (无),16QAM调制方式的下行达到最大重传次数之后的仍然传输失败的TB数 (无),64QAM调制方式的下行达到最大重传次数之后的仍然传输失败的TB数 (无),下行达到最大重传次数仍重传失败的切换命令的TB数 (无),下行达到最大重传次数仍重传失败的RRC CONN REL命令的TB数 (无),DL SCH传输信道上发送的采用QPSK的TB数 (无),DL SCH传输信道上发送的采用16QAM的TB数 (无),DL SCH传输信道上发送的采用64QAM的TB数 (无),小区QCI为1的DRB业务PDCP SDU上行丢弃的总包数 (包),小区QCI为1的DRB业务PDCP SDU上行期望收到的总包数 (包),小区QCI为1的DRB业务PDCP SDU下行空口丢弃的总包数 (包),小区QCI为1的DRB业务PDCP SDU下行空口发送的总包数 (包),QCI为1的业务PDCP层下行丢弃的业务SDU数 (包),小区QCI为1的DRB业务下行数据包处理总时延 (毫秒),PUSCH上检测到用户级别的RSRP为Index0的次数 (无),PUSCH上检测到用户级别的RSRP为Index1的次数 (无),PUSCH上检测到用户级别的RSRP为Index2的次数 (无),PUSCH上检测到用户级别的RSRP为Index3的次数 (无),PUSCH上检测到用户级别的RSRP为Index4的次数 (无),PUSCH上检测到用户级别的RSRP为Index5的次数 (无),PUSCH上检测到用户级别的RSRP为Index6的次数 (无),PUSCH上检测到用户级别的RSRP为Index7的次数 (无),PUSCH上检测到用户级别的RSRP为Index8的次数 (无),PUSCH上检测到用户级别的RSRP为Index9的次数 (无),PUSCH上检测到用户级别的RSRP为Index10的次数 (无),PUSCH上检测到用户级别的RSRP为Index11的次数 (无),PUSCH上检测到用户级别的RSRP为Index12的次数 (无),PUSCH上检测到用户级别的RSRP为Index13的次数 (无),PUSCH上检测到用户级别的RSRP为Index14的次数 (无),PUSCH上检测到用户级别的RSRP为Index15的次数 (无),PUSCH上检测到用户级别的RSRP为Index16的次数 (无),PUSCH上检测到用户级别的RSRP为Index17的次数 (无),PUSCH上检测到用户级别的RSRP为Index18的次数 (无),PUSCH上检测到用户级别的RSRP为Index19的次数 (无),PUSCH上检测到用户级别的RSRP为Index20的次数 (无),PUSCH上检测到用户级别的RSRP为Index21的次数 (无),PUSCH上检测到用户级别的RSRP为Index22的次数 (无),PUSCH上检测到用户级别的RSRP为Index23的次数 (无),系统上行每个PRB上检测到的干扰噪声的平均值 (毫瓦分贝),系统上行每个PRB上检测到的干扰噪声的最小值 (毫瓦分贝),系统上行每个PRB上检测到的干扰噪声的最大值 (毫瓦分贝),用户随机接入时TA值在区间0范围的接入次数 (无),用户随机接入时TA值在区间1范围的接入次数 (无),用户随机接入时TA值在区间2范围的接入次数 (无),用户随机接入时TA值在区间3范围的接入次数 (无),用户随机接入时TA值在区间4范围的接入次数 (无),用户随机接入时TA值在区间5范围的接入次数 (无),用户随机接入时TA值在区间6范围的接入次数 (无),用户随机接入时TA值在区间7范围的接入次数 (无),用户随机接入时TA值在区间8范围的接入次数 (无),用户随机接入时TA值在区间9范围的接入次数 (无),用户随机接入时TA值在区间10范围的接入次数 (无),用户随机接入时TA值在区间11范围的接入次数 (无)
02/12/2019 00:00:00,15,VIP_HZFL0181杭州浙大玉泉校区,"eNodeB名称=VIP_HZFL0181杭州浙大玉泉校区, 本地小区标识=2, 小区名称=HZFL0181杭州浙大玉泉校区SDR_21, eNodeB标识=790634, 小区双工模式=CELL_FDD, 小区标识=21",3,2,,4081,60947,0,25,1,0,9,0,9183,11167,2583,0,0,0,0,0,0,11,4,14,18,6,11,20,20,57,131,118,69,71,90,236,643,2257,3276,2660,336,2,0,0,0,-116,-120,-101,0,0,23,15,7,0,0,0,0,0,0,0
02/12/2019 00:00:00,15,VIP_HZFL0181杭州浙大玉泉校区,"eNodeB名称=VIP_HZFL0331杭州五老峰隧道19号杆, 本地小区标识=1, 小区名称=HZFL0331杭州五老峰隧道19号杆_11, eNodeB标识=791146, 小区双工模式=CELL_FDD, 小区标识=11",19,1,,155,12254,0,4,11,1,0,0,1748,451,29,0,0,0,0,0,0,28,3,2,2,1,0,0,0,0,0,0,0,0,2,9,24,106,501,540,85,8,4,2,0,-119,-120,-101,3,28,2,0,0,0,0,0,0,0,0,0
02/13/2019 00:00:00,15,VIP_HZFL0181杭州浙大玉泉校区,"eNodeB名称=VIP_HZFL0243杭州市交通局SDR, 本地小区标识=1, 小区名称=HZFL0243杭州市交通局SDR_11, eNodeB标识=790772, 小区双工模式=CELL_FDD, 小区标识=11",1346,332,,221973,1916599,0,789,361,303,92,200,295666,367822,548531,0,0,0,0,0,0,16030,7728,8079,8063,8868,11145,14141,15134,14828,16947,17857,19813,23161,25424,25883,28431,49421,77185,38473,16890,1286,189,17,2,-114,-120,-83,18,363,688,77,3,0,0,0,0,0,0,0
02/13/2019 00:00:00,15,VIP_HZFL0181杭州浙大玉泉校区,"eNodeB名称=HZSFFL0198杭州省国土资源厅, 本地小区标识=1, 小区名称=HZSFFL0198杭州省国土资源厅_11, eNodeB标识=791757, 小区双工模式=CELL_FDD, 小区标识=11",0,1,,14,530,0,1,0,0,0,0,93,8,0,0,0,0,0,0,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,25,30,1,2,0,0,-119,-121,-104,0,2,0,0,0,0,0,0,0,0,0,0
02/12/2019 00:00:00,15,VIP_HZFL0181杭州浙大玉泉校区,"eNodeB名称=HZFL0687杭州笕桥黄家村SDR, 本地小区标识=2, 小区名称=HZFL0687杭州笕桥黄家村SDR_21, eNodeB标识=791225, 小区双工模式=CELL_FDD, 小区标识=21",3,6,,230,93233,0,4,11,2,3,0,14764,31270,24774,0,0,0,0,0,0,6,3,3,5,1,2,0,2,1,5,18,32,86,131,416,1269,4841,8226,978,265,46,12,2,6,-119,-121,-90,0,37,10,0,0,0,0,0,0,0,0,0
02/12/2019 00:00:00,15,VIP_HZFL0181杭州浙大玉泉校区,"eNodeB名称=HZSFFL0409杭州西湖国宾馆2SDR, 本地小区标识=1, 小区名称=HZSFFL0409杭州西湖国宾馆2SDR_11, eNodeB标识=791726, 小区双工模式=CELL_FDD, 小区标识=11",0,19,,2733,113740,0,143,0,0,3,135,6424,7031,88051,0,0,0,0,0,0,25700,8698,7474,5060,2898,1415,656,394,341,221,128,86,79,110,207,362,1004,8679,13194,2446,168,8,0,0,-118,-120,-96,61,0,0,0,0,0,0,0,0,0,0,0
02/12/2019 00:00:00,15,VIP_HZFL0181杭州浙大玉泉校区,"eNodeB名称=VIP_HZFL0897杭州杨公堤松鹤山庄, 本地小区标识=1, 小区名称=HZFL0897杭州杨公堤松鹤山庄_11, eNodeB标识=791436, 小区双工模式=CELL_FDD, 小区标识=11",16,29,,1289,46625,0,25,18,9,0,0,12474,4218,849,0,0,0,0,0,0,80,27,41,45,34,7,5,7,29,33,97,185,525,932,1443,1847,2557,2830,232,27,4,0,0,0,-120,-121,-100,12,7,0,0,0,0,0,0,0,0,0,0
02/12/2019 00:00:00,15,HZFL1303杭州明月嘉苑三区,"eNodeB名称=HZFL1303杭州明月嘉苑三区, 本地小区标识=3, 小区名称=HZFL1303杭州明月嘉苑三区_31, eNodeB标识=792369, 小区双工模式=CELL_FDD, 小区标识=31",8089,935,,100856,882579,0,1987,449,220,398,339,262432,188514,158796,0,0,0,0,0,0,1624,809,803,750,664,594,550,501,645,918,1293,1524,1676,1993,2725,4817,11429,27271,38440,52756,10317,1877,247,43,-104,-119,-79,47,803,1191,72,1,0,0,0,0,0,0,0
02/12/2019 00:00:00,15,HZFL1219余杭翁梅村,"eNodeB名称=HZFL1219余杭翁梅村, 本地小区标识=2, 小区名称=HZFL1219余杭翁梅村_21, eNodeB标识=791983, 小区双工模式=CELL_FDD, 小区标识=21",0,1,,358,21551,0,9,0,0,5,0,5626,12293,10783,0,0,0,0,0,0,19,4,7,3,2,0,1,0,0,0,0,4,22,12,18,41,447,1635,256,228,106,54,1,0,-118,-121,-91,1,10,51,23,1,0,0,0,0,0,0,0
02/12/2019 00:00:00,15,HZFL1241余杭乔司张家角,"eNodeB名称=HZFL1241余杭乔司张家角, 本地小区标识=1, 小区名称=HZFL1241余杭乔司张家角_11, eNodeB标识=792104, 小区双工模式=CELL_FDD, 小区标识=11",229,10,,2478,56475,0,138,14,21,31,25,25816,4535,3280,0,0,0,0,0,0,221,62,45,27,5,5,5,8,7,17,23,43,116,200,195,385,626,3027,596,441,212,74,5,0,-116,-121,-89,3,130,76,2,0,0,0,0,0,0,0,0
02/12/2019 00:00:00,15,HZFL1138余杭临平顺达花苑东区,"eNodeB名称=HZFL1138余杭临平顺达花苑东区, 本地小区标识=3, 小区名称=HZFL1138余杭临平顺达花苑东区_31, eNodeB标识=792346, 小区双工模式=CELL_FDD, 小区标识=31",301,1,,3348,135392,0,46,34,166,11,25,27458,22281,11189,0,0,0,0,0,0,178,17,10,4,3,1,4,12,10,39,49,139,455,1257,2219,3495,5999,12942,3160,409,174,38,4,0,-118,-121,-94,6,26,102,1,1,0,0,0,0,0,0,0
02/12/2019 00:00:00,15,HZFL0795杭州九溪二,"eNodeB名称=HZFL0795杭州九溪二, 本地小区标识=2, 小区名称=HZFL0795杭州九溪二_21, eNodeB标识=791288, 小区双工模式=CELL_FDD, 小区标识=21",0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-121,-121,-121,0,0,0,0,0,0,0,0,0,0,0,0
02/12/2019 00:00:00,15,HZFL0954杭州双浦大岭村SDR,"eNodeB名称=HZFL0954杭州双浦大岭村SDR, 本地小区标识=2, 小区名称=HZFL0954杭州双浦大岭村SDR_21, eNodeB标识=791492, 小区双工模式=CELL_FDD, 小区标识=21",1,0,,2823,1195,0,0,0,0,0,0,827,26,0,0,0,0,0,0,0,15,4,0,1,0,1,2,15,51,85,86,164,52,6,3,8,6,15,0,9,0,0,0,0,-119,-120,-100,0,0,3,2,3,0,0,0,0,0,0,0
02/12/2019 00:00:00,15,HZFL1583杭州转塘梧桐燕庐,"eNodeB名称=HZFL1583杭州转塘梧桐燕庐, 本地小区标识=2, 小区名称=HZFL1583杭州转塘梧桐燕庐_21, eNodeB标识=792486, 小区双工模式=CELL_FDD, 小区标识=21",14053,117,,53330,621904,0,5933,3662,2835,12,206,93213,102051,234935,0,0,0,0,0,0,8096,1988,1115,551,336,276,342,522,769,1595,4063,7593,8397,5705,7706,26719,64239,34166,6841,1586,243,216,51,6,-118,-121,-92,33,273,109,8,0,0,0,0,0,0,0,0
02/12/2019 00:00:00,15,HZSFFL0720余杭森禾科技园1,"eNodeB名称=HZSFFL0720余杭森禾科技园1, 本地小区标识=4, 小区名称=HZSFFL0720余杭森禾科技园1_41, eNodeB标识=792744, 小区双工模式=CELL_FDD, 小区标识=41",0,3,,1398,86829,0,13,1,0,0,9,6597,3760,25580,0,0,0,0,0,0,7657,3547,3665,2734,1348,378,44,11,10,18,41,79,107,159,253,471,1596,12318,3639,487,89,15,0,0,-119,-120,-105,75,0,0,0,0,0,0,0,0,0,0,0
02/12/2019 00:00:00,15,HZFL1997杭州江干东风港路,"eNodeB名称=HZFL1997杭州江干东风港路, 本地小区标识=1, 小区名称=HZFL1997杭州江干东风港路_11, eNodeB标识=793418, 小区双工模式=CELL_FDD, 小区标识=11",0,0,,856,12127,0,1,0,0,0,0,1527,1428,2027,0,0,0,0,0,0,4,2,5,0,3,4,1,4,5,15,47,352,486,695,540,254,30,74,30,21,12,1,0,0,-119,-120,-101,0,1,16,0,0,0,0,0,0,0,0,0
02/12/2019 00:00:00,15,HZFL0974杭州上城金色海岸,"eNodeB名称=HZFL0974杭州上城金色海岸, 本地小区标识=4, 小区名称=HZFL0974杭州上城金色海岸_41, eNodeB标识=791514, 小区双工模式=CELL_FDD, 小区标识=41",27,3,,5419,7227,0,20,1,0,5,6,7720,1353,13,0,0,0,0,0,0,53,28,27,16,18,14,8,15,19,80,90,105,201,224,112,49,25,55,96,121,22,10,2,2,-117,-120,-98,0,7,2,3,30,0,0,0,0,0,0,0
02/12/2019 00:00:00,15,HZFL7423余杭运河螺丝桥村B1,"eNodeB名称=HZFL7423余杭运河螺丝桥村B1, 本地小区标识=1, 小区名称=HZFL7423余杭运河螺丝桥村B1_11, eNodeB标识=793864, 小区双工模式=CELL_FDD, 小区标识=11",88,22,,53920,52497,0,55,6,3,42,0,8958,20009,45932,0,0,0,0,0,0,90,22,25,19,29,33,96,297,912,1363,1052,1263,1016,1174,708,396,337,440,686,1686,97,8,0,0,-118,-121,-94,0,5,42,123,49,0,2,0,0,0,0,0
02/12/2019 00:00:00,15,HZSFFL0407杭州西子宾馆2SDR,"eNodeB名称=HZSFFL0407杭州西子宾馆2SDR, 本地小区标识=4, 小区名称=HZSFFL0407杭州西子宾馆2SDR_32, eNodeB标识=791724, 小区双工模式=CELL_FDD, 小区标识=32",0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-119,-120,-119,0,0,0,0,0,0,0,0,0,0,0,0
02/12/2019 00:00:00,15,HZFL0518杭州玉皇山庄A楼,"eNodeB名称=HZFL0518杭州玉皇山庄A楼, 本地小区标识=3, 小区名称=HZFL0518杭州上城玉皇山游步道岔口LY_11, eNodeB标识=791141, 小区双工模式=CELL_FDD, 小区标识=31",0,0,,67,5016,0,0,0,0,0,0,708,417,29,0,0,0,0,0,0,13,5,5,3,2,0,0,0,0,0,0,0,0,0,0,6,42,226,48,74,51,3,0,0,-119,-121,-113,0,0,33,0,0,0,0,0,0,0,0,0
02/12/2019 00:00:00,15,HZFL0661杭州彭埠兴隆村,"eNodeB名称=HZFL0661杭州彭埠兴隆村, 本地小区标识=4, 小区名称=HZFL0661杭州彭埠兴隆村_12, eNodeB标识=791203, 小区双工模式=CELL_FDD, 小区标识=12",1518,12,,3562,57987,0,506,545,47,2,0,10377,29058,8889,0,0,0,0,0,0,715,134,74,37,12,4,10,14,28,55,121,264,992,1098,1079,485,1013,724,369,304,869,172,442,0,-119,-121,-93,0,4,75,40,6,0,0,0,0,0,0,0
02/12/2019 00:00:00,15,HZSFUL2221余杭良渚奥克斯缔逸城2B1,"eNodeB名称=HZSFUL2221余杭良渚奥克斯缔逸城2B1, 本地小区标识=2, 小区名称=HZSFUL2221余杭良渚奥克斯缔逸城2B1_21, eNodeB标识=946885, 小区双工模式=CELL_FDD, 小区标识=21",35,1,,3810,20731,0,57,4,8,0,53,1588,2241,4058,0,0,0,0,0,0,964,389,473,511,431,273,112,55,128,141,93,81,113,149,380,739,765,451,119,127,1,2,0,0,-119,-121,-99,16,43,12,0,0,0,0,0,0,0,0,0
02/12/2019 00:00:00,15,HZFL0881杭州丁桥长睦锦苑SDR,"eNodeB名称=HZFL0881杭州丁桥长睦锦苑SDR, 本地小区标识=3, 小区名称=HZFL0881杭州丁桥长睦锦苑SDR_31, eNodeB标识=791409, 小区双工模式=CELL_FDD, 小区标识=31",3948,148,,131314,415773,0,758,68,16,38,64,170147,116083,102542,0,0,0,0,0,0,14,27,54,93,167,280,523,880,1264,1950,2468,2976,2660,2636,5672,12250,12088,9853,14803,35981,1854,281,12,1,-101,-104,-90,0,86,131,148,7,0,0,0,0,0,0,0
02/12/2019 00:00:00,15,HZFL0198杭州景区执法局SDR,"eNodeB名称=HZFL0198杭州景区执法局SDR, 本地小区标识=9, 小区名称=HZFL0198杭州景区执法局SDR_33, eNodeB标识=791080, 小区双工模式=CELL_FDD, 小区标识=33",0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-119,-120,-107,0,0,0,0,0,0,0,0,0,0,0,0
02/12/2019 00:00:00,15,VIP_HZFL0181杭州浙大玉泉校区,"eNodeB名称=VIP_HZFL0181杭州浙大玉泉校区, 本地小区标识=1, 小区名称=HZFL0181杭州浙大玉泉校区SDR_11, eNodeB标识=790634, 小区双工模式=CELL_FDD, 小区标识=11",1612,56,,191196,247417,0,424,106,30,68,19,68886,68242,61087,0,0,0,0,0,0,170,148,180,214,203,246,459,803,1269,2233,3793,6274,5880,11627,9739,5712,6206,5283,4067,5865,1019,72,5,0,-110,-117,-94,0,8,85,217,67,0,2,0,0,0,0,0
02/12/2019 00:00:00,15,HZFL0033杭州和新南苑SDR,"eNodeB名称=HZFL0033杭州和新南苑SDR, 本地小区标识=3, 小区名称=HZFL0033杭州和新南苑SDR_31, eNodeB标识=790586, 小区双工模式=CELL_FDD, 小区标识=31",5155,28,,16145,270247,0,423,83,86,34,50,35095,49681,99767,0,0,0,0,0,0,2068,584,372,227,153,89,74,104,123,168,195,228,276,423,616,1038,11337,42710,4652,895,236,47,0,0,-117,-121,-95,14,203,64,1,0,0,0,0,0,0,0,0
02/12/2019 00:00:00,15,HZFL0111杭州六通宾馆,"eNodeB名称=HZFL0111杭州六通宾馆, 本地小区标识=1, 小区名称=HZFL0111杭州六通宾馆_11, eNodeB标识=791102, 小区双工模式=CELL_FDD, 小区标识=11",9,6,,2691,102749,0,26,35,11,0,6,20483,18497,16757,0,0,0,0,0,0,512,155,93,39,15,10,9,7,25,81,135,249,440,502,678,1935,3303,5928,1025,366,72,43,16,2,-119,-121,-104,76,63,4,0,0,0,0,0,0,0,0,0
