起始时间,周期,网元名称,小区,QPSK调制方式的上行达到最大重传次数之后的仍然传输失败的TB数 (无),16QAM调制方式的上行达到最大重传次数之后的仍然传输失败的TB数 (无),64QAM调制方式的上行达到最大重传次数之后的仍然传输失败的TB数 (无),UL SCH传输信道上发送的采用QPSK的TB数 (无),UL SCH传输信道上发送的采用16QAM的TB数 (无),UL SCH传输信道上发送的采用64QAM的TB数 (无),QPSK调制方式的下行达到最大重传次数之后的仍然传输失败的TB数 (无),16QAM调制方式的下行达到最大重传次数之后的仍然传输失败的TB数 (无),64QAM调制方式的下行达到最大重传次数之后的仍然传输失败的TB数 (无),下行达到最大重传次数仍重传失败的切换命令的TB数 (无),下行达到最大重传次数仍重传失败的RRC CONN REL命令的TB数 (无),DL SCH传输信道上发送的采用QPSK的TB数 (无),DL SCH传输信道上发送的采用16QAM的TB数 (无),DL SCH传输信道上发送的采用64QAM的TB数 (无),小区QCI为1的DRB业务PDCP SDU上行丢弃的总包数 (包),小区QCI为1的DRB业务PDCP SDU上行期望收到的总包数 (包),小区QCI为1的DRB业务PDCP SDU下行空口丢弃的总包数 (包),小区QCI为1的DRB业务PDCP SDU下行空口发送的总包数 (包),QCI为1的业务PDCP层下行丢弃的业务SDU数 (包),小区QCI为1的DRB业务下行数据包处理总时延 (毫秒),PUSCH上检测到用户级别的RSRP为Index0的次数 (无),PUSCH上检测到用户级别的RSRP为Index1的次数 (无),PUSCH上检测到用户级别的RSRP为Index2的次数 (无),PUSCH上检测到用户级别的RSRP为Index3的次数 (无),PUSCH上检测到用户级别的RSRP为Index4的次数 (无),PUSCH上检测到用户级别的RSRP为Index5的次数 (无),PUSCH上检测到用户级别的RSRP为Index6的次数 (无),PUSCH上检测到用户级别的RSRP为Index7的次数 (无),PUSCH上检测到用户级别的RSRP为Index8的次数 (无),PUSCH上检测到用户级别的RSRP为Index9的次数 (无),PUSCH上检测到用户级别的RSRP为Index10的次数 (无),PUSCH上检测到用户级别的RSRP为Index11的次数 (无),PUSCH上检测到用户级别的RSRP为Index12的次数 (无),PUSCH上检测到用户级别的RSRP为Index13的次数 (无),PUSCH上检测到用户级别的RSRP为Index14的次数 (无),PUSCH上检测到用户级别的RSRP为Index15的次数 (无),PUSCH上检测到用户级别的RSRP为Index16的次数 (无),PUSCH上检测到用户级别的RSRP为Index17的次数 (无),PUSCH上检测到用户级别的RSRP为Index18的次数 (无),PUSCH上检测到用户级别的RSRP为Index19的次数 (无),PUSCH上检测到用户级别的RSRP为Index20的次数 (无),PUSCH上检测到用户级别的RSRP为Index21的次数 (无),PUSCH上检测到用户级别的RSRP为Index22的次数 (无),PUSCH上检测到用户级别的RSRP为Index23的次数 (无),系统上行每个PRB上检测到的干扰噪声的平均值 (毫瓦分贝),系统上行每个PRB上检测到的干扰噪声的最小值 (毫瓦分贝),系统上行每个PRB上检测到的干扰噪声的最大值 (毫瓦分贝),用户随机接入时TA值在区间0范围的接入次数 (无),用户随机接入时TA值在区间1范围的接入次数 (无),用户随机接入时TA值在区间2范围的接入次数 (无),用户随机接入时TA值在区间3范围的接入次数 (无),用户随机接入时TA值在区间4范围的接入次数 (无),用户随机接入时TA值在区间5范围的接入次数 (无),用户随机接入时TA值在区间6范围的接入次数 (无),用户随机接入时TA值在区间7范围的接入次数 (无),用户随机接入时TA值在区间8范围的接入次数 (无),用户随机接入时TA值在区间9范围的接入次数 (无),用户随机接入时TA值在区间10范围的接入次数 (无),用户随机接入时TA值在区间11范围的接入次数 (无)
02/12/2019 00:00:00,15,HZFL0297杭州西湖花苑SDR,"eNodeB名称=HZFL0297杭州西湖花苑SDR, 本地小区标识=3, 小区名称=HZFL0297杭州西湖花苑SDR_31, eNodeB标识=791063, 小区双工模式=CELL_FDD, 小区标识=31",537,73,,6491,147681,0,280,41,12,91,16,26025,24885,13791,0,0,0,0,0,0,538,119,103,84,40,22,12,17,13,10,38,86,144,321,793,2006,3672,5943,4961,3046,420,95,21,8,-116,-121,-84,19,116,92,2,0,0,0,0,0,0,0,0
02/12/2019 00:00:00,15,HZFL0578杭州华枫冷冻物流SDR,"eNodeB名称=HZFL0578杭州华枫冷冻物流SDR, 本地小区标识=3, 小区名称=HZFL0578杭州华枫冷冻物流SDR_31, eNodeB标识=790719, 小区双工模式=CELL_FDD, 小区标识=31",21,35,,1496,118681,0,81,46,9,21,24,24631,16155,6975,0,0,0,0,0,0,78,34,43,39,36,24,9,5,5,11,15,34,46,190,109,290,1776,6046,5637,2644,86,34,0,0,-115,-120,-94,0,1,41,23,52,6,0,0,0,0,0,0
02/12/2019 00:00:00,15,HZFL0687杭州笕桥黄家村SDR,"eNodeB名称=HZFL0687杭州笕桥黄家村SDR, 本地小区标识=3, 小区名称=HZFL0687杭州笕桥黄家村SDR_31, eNodeB标识=791225, 小区双工模式=CELL_FDD, 小区标识=31",183,16,,26622,297261,0,148,71,30,12,24,70805,128158,61809,0,0,0,0,0,0,256,58,70,48,47,67,203,372,681,887,1042,1309,1015,839,708,1051,6706,50353,13579,1078,237,65,6,0,-118,-121,-96,3,128,145,1,0,0,0,0,0,0,0,0
02/12/2019 00:00:00,15,HZFL1303杭州明月嘉苑三区,"eNodeB名称=HZFL1303杭州明月嘉苑三区, 本地小区标识=2, 小区名称=HZFL1303杭州明月嘉苑三区_21, eNodeB标识=792369, 小区双工模式=CELL_FDD, 小区标识=21",4061,658,,188037,612940,0,1907,384,263,555,317,338249,207134,157182,0,0,0,0,0,0,523,322,408,461,583,537,558,790,1322,1929,2567,3067,3673,4661,6192,6826,9029,14513,20815,46967,14447,2674,340,51,-105,-119,-81,48,798,1311,264,1,0,0,0,0,0,0,0
02/12/2019 00:00:00,15,HZFL1219余杭翁梅村,"eNodeB名称=HZFL1219余杭翁梅村, 本地小区标识=1, 小区名称=HZFL1219余杭翁梅村_11, eNodeB标识=791983, 小区双工模式=CELL_FDD, 小区标识=11",1,1,,576,17240,0,27,0,0,10,9,5280,269,4,0,0,0,0,0,0,42,13,18,9,4,2,1,1,1,3,12,16,28,46,91,150,328,496,345,314,35,1,0,0,-119,-121,-97,0,0,9,79,1,0,0,0,0,0,0,0
02/12/2019 00:00:00,15,HZFL1202余杭区良诸镇郭家塘村,"eNodeB名称=HZFL1202余杭区良诸镇郭家塘村, 本地小区标识=3, 小区名称=HZFL1202余杭区良诸镇郭家塘村_31, eNodeB标识=792117, 小区双工模式=CELL_FDD, 小区标识=31",532,1,,3162,26080,0,405,0,0,0,398,9824,1256,998,0,0,0,0,0,0,150,58,49,38,28,5,2,4,14,37,62,177,595,944,802,466,231,90,47,22,14,8,2,0,-119,-121,-98,0,1,61,1,1,0,0,0,0,0,0,0
02/12/2019 00:00:00,15,HZFL1138余杭临平顺达花苑东区,"eNodeB名称=HZFL1138余杭临平顺达花苑东区, 本地小区标识=2, 小区名称=HZFL1138余杭临平顺达花苑东区_21, eNodeB标识=792346, 小区双工模式=CELL_FDD, 小区标识=21",168,52,,154229,395350,0,221,77,32,7,43,66668,101961,164433,0,0,0,0,0,0,176,98,91,100,83,89,131,262,471,787,1592,3424,4582,9406,19112,19682,24763,25786,22435,6815,171,10,1,0,-112,-117,-97,4,176,126,42,1,0,0,0,0,0,0,0
02/12/2019 00:00:00,15,HZFL0795杭州九溪二,"eNodeB名称=HZFL0795杭州九溪二, 本地小区标识=1, 小区名称=HZFL0795杭州九溪二_11, eNodeB标识=791288, 小区双工模式=CELL_FDD, 小区标识=11",0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-121,-122,-121,0,0,0,0,0,0,0,0,0,0,0,0
02/12/2019 00:00:00,15,HZFL0954杭州双浦大岭村SDR,"eNodeB名称=HZFL0954杭州双浦大岭村SDR, 本地小区标识=1, 小区名称=HZFL0954杭州双浦大岭村SDR_11, eNodeB标识=791492, 小区双工模式=CELL_FDD, 小区标识=11",0,19,,1039,34425,0,59,35,1,1,34,4855,7273,2468,0,0,0,0,0,0,90,41,35,36,35,12,0,3,11,12,34,85,103,211,312,462,1088,2919,759,143,29,11,0,0,-119,-121,-109,0,42,47,0,0,0,0,0,0,0,0,0
02/12/2019 00:00:00,15,HZFL1583杭州转塘梧桐燕庐,"eNodeB名称=HZFL1583杭州转塘梧桐燕庐, 本地小区标识=1, 小区名称=HZFL1583杭州转塘梧桐燕庐_11, eNodeB标识=792486, 小区双工模式=CELL_FDD, 小区标识=11",632,6,,1814,23118,0,29,0,0,8,0,6767,1893,158,0,0,0,0,0,0,142,86,76,47,22,16,10,3,13,14,26,25,38,49,159,312,617,1200,284,243,70,18,3,0,-118,-121,-86,3,40,36,1,0,0,0,0,0,0,0,0
02/12/2019 00:00:00,15,HZFL1987杭州太子湾公园大风车,"eNodeB名称=HZFL1987杭州太子湾公园大风车, 本地小区标识=3, 小区名称=HZFL1987杭州太子湾公园大风车_31, eNodeB标识=793402, 小区双工模式=CELL_FDD, 小区标识=31",0,0,,489,3061,0,0,0,0,0,0,1028,18,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1,7,3,99,149,29,41,50,3,2,1,0,0,0,0,0,-119,-120,-110,0,13,11,0,0,0,0,0,0,0,0,0
02/12/2019 00:00:00,15,HZFL2122余杭中泰中桥,"eNodeB名称=HZFL2122余杭中泰中桥, 本地小区标识=3, 小区名称=HZFL2122余杭中泰中桥_31, eNodeB标识=794545, 小区双工模式=CELL_FDD, 小区标识=31",1223,24,,6488,73365,0,262,111,2,25,55,13440,13138,11790,0,0,0,0,0,0,645,102,59,19,7,4,16,21,58,121,184,231,252,374,583,797,1569,2203,886,734,155,9,1,0,-119,-121,-100,2,0,28,142,13,0,0,0,0,0,0,0
02/12/2019 00:00:00,15,HZFL2572杭州上城胡雪岩故居,"eNodeB名称=HZFL2572杭州上城胡雪岩故居, 本地小区标识=3, 小区名称=HZFL2572杭州上城胡雪岩故居_31, eNodeB标识=836724, 小区双工模式=CELL_FDD, 小区标识=31",1103,45,,42517,132068,0,408,70,2,99,0,65603,26653,8633,0,0,0,0,0,0,635,228,234,134,124,93,122,290,387,679,722,1234,3836,9572,11492,5489,1077,314,192,172,37,14,0,0,-117,-120,-87,4,110,124,28,0,0,0,0,0,0,0,0
02/12/2019 00:00:00,15,HZSFFL0407杭州西子宾馆2SDR,"eNodeB名称=HZSFFL0407杭州西子宾馆2SDR, 本地小区标识=3, 小区名称=HZSFFL0407杭州西子宾馆2SDR_31, eNodeB标识=791724, 小区双工模式=CELL_FDD, 小区标识=31",0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NIL,NIL,NIL,0,0,0,0,0,0,0,0,0,0,0,0
02/12/2019 00:00:00,15,HZSFUL2221余杭良渚奥克斯缔逸城2B1,"eNodeB名称=HZSFUL2221余杭良渚奥克斯缔逸城2B1, 本地小区标识=3, 小区名称=HZSFUL2221余杭良渚奥克斯缔逸城2B1_31, eNodeB标识=946885, 小区双工模式=CELL_FDD, 小区标识=31",0,0,,561,213,0,1,0,0,0,1,160,1,0,0,0,0,0,0,0,1,2,0,0,1,1,2,4,1,10,10,12,2,5,1,7,22,5,0,2,0,0,0,0,-119,-121,-95,5,16,0,0,0,0,0,0,0,0,0,0
02/12/2019 00:00:00,15,HZSFFL0079萧山机场T3航站楼2,"eNodeB名称=HZSFFL0079萧山机场T3航站楼2, 本地小区标识=9, 小区名称=HZSFFL0079萧山机场T3航站楼2_32, eNodeB标识=791638, 小区双工模式=CELL_FDD, 小区标识=32",1,3,,501,241,0,5,7,0,1,0,114,43,0,0,0,0,0,0,0,56,19,29,17,22,24,19,11,8,12,9,9,7,9,14,10,6,4,5,7,3,0,0,0,-115,-120,-85,0,1,2,0,0,0,0,0,0,0,0,0
02/12/2019 00:00:00,15,HZFL0337杭州通普,"eNodeB名称=HZFL0337杭州通普, 本地小区标识=8, 小区名称=HZFL0337杭州通普_23, eNodeB标识=790620, 小区双工模式=CELL_FDD, 小区标识=23",541,7,,10065,8626,0,41,10,2,14,10,2620,2814,363,0,0,0,0,0,0,213,36,24,12,13,4,5,9,33,106,199,298,261,355,319,232,104,109,39,146,349,9,0,0,-114,-121,-82,0,10,14,4,0,0,0,0,0,0,0,0
02/12/2019 00:00:00,15,HZFJ0371萧山新街长山_新建工程期,"eNodeB名称=HZFJ0371萧山新街长山_新建工程期, 本地小区标识=2, 小区名称=HZFJ0371萧山新街长山_26, eNodeB标识=948319, 小区双工模式=CELL_FDD, 小区标识=26",1523,13,,5292,2083,0,70,1,2,0,49,1243,740,115,0,0,0,0,0,0,0,0,2,14,66,80,130,158,191,254,180,110,78,76,123,28,44,88,7,5,1,1,0,2,-104,-110,-93,0,0,18,14,0,0,0,0,0,0,0,0
02/12/2019 00:00:00,15,HZFL0023杭州海川大酒店SDR,"eNodeB名称=HZFL0023杭州海川大酒店SDR, 本地小区标识=3, 小区名称=HZFL0023杭州海川大酒店SDR_31, eNodeB标识=790569, 小区双工模式=CELL_FDD, 小区标识=31",14,11,,5563,50418,0,25,5,2,7,7,6630,8605,11447,0,0,0,0,0,0,50,18,13,22,16,17,15,28,43,106,109,139,289,359,510,523,588,2132,2063,526,48,23,9,1,-118,-120,-96,23,43,10,0,0,0,0,0,0,0,0,0
02/12/2019 00:00:00,15,HZFL0033杭州和新南苑SDR,"eNodeB名称=HZFL0033杭州和新南苑SDR, 本地小区标识=2, 小区名称=HZFL0033杭州和新南苑SDR_21, eNodeB标识=790586, 小区双工模式=CELL_FDD, 小区标识=21",1603,399,,42639,989456,0,843,628,631,18,6,114068,203600,428107,0,0,0,0,0,0,2629,944,1079,936,499,279,272,624,1010,1267,2749,6025,12533,19944,18193,23333,100936,55536,10423,3251,445,49,0,0,-117,-121,-96,29,382,62,1,0,0,0,0,0,0,0,0
02/12/2019 00:00:00,15,HZFL0297杭州西湖花苑SDR,"eNodeB名称=HZFL0297杭州西湖花苑SDR, 本地小区标识=2, 小区名称=HZFL0297杭州西湖花苑SDR_21, eNodeB标识=791063, 小区双工模式=CELL_FDD, 小区标识=21",350,11,,2417,67877,0,126,14,0,71,14,14052,14383,11480,0,0,0,0,0,0,143,56,59,33,16,12,14,9,13,20,26,53,92,146,278,471,1172,2857,1988,1062,231,55,7,0,-117,-121,-86,12,100,66,2,0,0,1,0,0,0,0,0
02/12/2019 00:00:00,15,HZFL0578杭州华枫冷冻物流SDR,"eNodeB名称=HZFL0578杭州华枫冷冻物流SDR, 本地小区标识=2, 小区名称=HZFL0578杭州华枫冷冻物流SDR_21, eNodeB标识=790719, 小区双工模式=CELL_FDD, 小区标识=21",85,23,,9495,136597,0,157,28,3,63,7,34635,5158,867,0,0,0,0,0,0,265,130,178,198,173,148,73,58,50,54,84,94,256,875,879,3159,2211,4767,13633,4985,76,1,0,0,-115,-120,-90,0,3,104,11,17,0,0,0,0,0,0,0
02/12/2019 00:00:00,15,HZSFFL0197杭州西湖文化广场F区,"eNodeB名称=HZSFFL0197杭州西湖文化广场F区, 本地小区标识=2, 小区名称=HZSFFL0197杭州西湖文化广场F区_21, eNodeB标识=791756, 小区双工模式=CELL_FDD, 小区标识=21",0,3,,197,28175,0,59,26,3,0,40,2367,8108,2642,0,0,0,0,0,0,2179,530,234,54,10,4,2,0,0,3,6,19,17,20,129,73,315,1318,848,224,69,19,1,0,-119,-121,-96,50,6,0,0,0,0,0,0,0,0,0,0
02/12/2019 00:00:00,15,HZFL0831杭州三墩隧道指挥部,"eNodeB名称=HZFL0831杭州三墩隧道指挥部, 本地小区标识=3, 小区名称=HZFL0831杭州三墩隧道指挥部_31, eNodeB标识=791363, 小区双工模式=CELL_FDD, 小区标识=31",2014,143,,107278,488736,0,477,249,34,98,173,89638,180885,159963,0,0,0,0,0,0,784,324,288,253,211,199,206,266,509,1121,1558,1982,3159,5548,9299,12633,23943,30112,25787,10093,1018,293,105,8,-114,-120,-89,0,24,272,228,145,1,0,0,0,0,0,0
02/12/2019 00:00:00,15,HZFL1303杭州明月嘉苑三区,"eNodeB名称=HZFL1303杭州明月嘉苑三区, 本地小区标识=1, 小区名称=HZFL1303杭州明月嘉苑三区_11, eNodeB标识=792369, 小区双工模式=CELL_FDD, 小区标识=11",4463,442,,164757,518070,0,955,103,26,236,70,127608,84361,60910,0,0,0,0,0,0,984,454,477,428,362,337,370,732,1979,3302,3618,3456,2960,2533,2721,4257,15572,21724,12501,19901,4688,773,145,11,-106,-119,-78,8,346,651,238,0,0,0,0,0,0,0,0
02/12/2019 00:00:00,15,HZFL1202余杭区良诸镇郭家塘村,"eNodeB名称=HZFL1202余杭区良诸镇郭家塘村, 本地小区标识=2, 小区名称=HZFL1202余杭区良诸镇郭家塘村_21, eNodeB标识=792117, 小区双工模式=CELL_FDD, 小区标识=21",3500,61,,97478,140818,0,895,70,15,59,50,66147,22914,10064,0,0,0,0,0,0,1658,480,338,323,410,403,875,3218,3893,509,524,942,3089,2470,1291,1222,1568,2711,2290,2410,532,147,27,8,-118,-121,-90,2,158,210,1,1,14,0,0,0,0,0,0
02/12/2019 00:00:00,15,HZFL1138余杭临平顺达花苑东区,"eNodeB名称=HZFL1138余杭临平顺达花苑东区, 本地小区标识=1, 小区名称=HZFL1138余杭临平顺达花苑东区_11, eNodeB标识=792346, 小区双工模式=CELL_FDD, 小区标识=11",133,57,,10087,461327,0,129,67,210,3,64,56136,99831,205535,0,0,0,0,0,0,173,81,108,81,84,53,38,32,86,153,246,469,1941,5319,11928,18741,29463,30585,15785,3427,219,130,26,0,-117,-121,-98,0,90,190,11,0,0,0,0,0,0,0,0
02/12/2019 00:00:00,15,HZSFFL0447杭州万糖汇,"eNodeB名称=HZSFFL0447杭州万糖汇, 本地小区标识=2, 小区名称=HZSFFL0447杭州万糖汇_21, eNodeB标识=792460, 小区双工模式=CELL_FDD, 小区标识=21",147,5,,1369,6996,0,9,2,0,7,0,783,727,297,0,0,0,0,0,0,42,26,13,12,10,3,6,14,9,25,38,55,67,98,73,104,155,168,100,130,22,8,3,0,-119,-121,-103,32,2,0,0,0,0,0,0,0,0,0,0
02/12/2019 00:00:00,15,HZFL1987杭州太子湾公园大风车,"eNodeB名称=HZFL1987杭州太子湾公园大风车, 本地小区标识=2, 小区名称=HZFL1987杭州太子湾公园大风车_21, eNodeB标识=793402, 小区双工模式=CELL_FDD, 小区标识=21",0,0,,65,9130,0,0,0,0,0,0,2050,624,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,4,7,15,20,30,323,413,35,49,61,57,0,0,-119,-121,-109,0,32,3,0,0,0,0,0,0,0,0,0
02/12/2019 00:00:00,15,HZSFFL1069杭州国贸大厦,"eNodeB名称=HZSFFL1069杭州国贸大厦, 本地小区标识=1, 小区名称=HZSFFL1069杭州国贸大厦_11, eNodeB标识=797080, 小区双工模式=CELL_FDD, 小区标识=11",416,16,,8338,76553,0,17,3,0,4,0,6992,3379,2518,0,0,0,0,0,0,234,54,50,24,20,10,21,24,29,64,112,108,110,126,308,2719,3617,1345,2408,1840,77,18,2,0,-119,-120,-99,15,17,0,0,0,0,0,0,0,0,0,0
02/12/2019 00:00:00,15,HZFL0846杭州九堡朝阳工业园区,"eNodeB名称=HZFL0846杭州九堡朝阳工业园区, 本地小区标识=3, 小区名称=HZFL0846杭州九堡朝阳工业园区_31, eNodeB标识=791377, 小区双工模式=CELL_FDD, 小区标识=31",115,284,,17194,426748,0,331,136,141,28,128,85065,92581,102090,0,0,0,0,0,0,470,192,228,143,95,69,76,127,257,431,818,1495,1665,1274,1280,2651,7165,16609,8135,2940,305,29,5,0,-116,-120,-98,0,4,259,41,13,20,0,0,0,0,0,0
02/12/2019 00:00:00,15,HZSFFL0793杭州警备区司令部,"eNodeB名称=HZSFFL0793杭州警备区司令部, 本地小区标识=1, 小区名称=HZSFFL0793杭州警备区司令部_11, eNodeB标识=793793, 小区双工模式=CELL_FDD, 小区标识=11",0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-119,-120,-112,0,0,0,0,0,0,0,0,0,0,0,0
02/12/2019 00:00:00,15,HZFL2122余杭中泰中桥,"eNodeB名称=HZFL2122余杭中泰中桥, 本地小区标识=2, 小区名称=HZFL2122余杭中泰中桥_21, eNodeB标识=794545, 小区双工模式=CELL_FDD, 小区标识=21",631,32,,9151,178157,0,278,62,101,32,77,38143,42349,44081,0,0,0,0,0,0,442,120,64,32,16,16,31,63,146,202,253,337,690,1154,1748,3795,8995,11804,2822,1578,193,37,7,1,-118,-120,-94,0,0,58,132,17,1,0,0,0,0,0,0
